#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Gunhed - Hudson Gunhed Taikai (Japan);Gunhed - Hudson Gunhed Taikai (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Hana Taaka Daka! (Japan);Hana Taaka Daka! (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Hanii in the Sky (Japan);Hanii in the Sky (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Hanii on the Road (Japan);Hanii on the Road (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Hatris (Japan);Hatris (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Heavy Unit (Japan);Heavy Unit (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Hisou Kihei - Xserd (Japan);Hisou Kihei - Xserd (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Hit the Ice - VHL - The Official Video Hockey League (Japan);Hit the Ice - VHL - The Official Video Hockey League (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Hit the Ice - VHL - The Official Video Hockey League (USA);Hit the Ice - VHL - The Official Video Hockey League (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Honoo no Toukyuuji - Dodge Danpei (Japan);Honoo no Toukyuuji - Dodge Danpei (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Idol Hanafuda Fan Club (Japan);Idol Hanafuda Fan Club (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Image Fight (Japan);Image Fight (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Impossamole (USA);Impossamole (USA);ra-tg16;;;;;;;;;;;;;;;;;;
J. League Greatest Eleven (Japan);J. League Greatest Eleven (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
J.J. & Jeff (USA);J.J. & Jeff (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Jack Nicklaus - Championship Golf (Japan);Jack Nicklaus - Championship Golf (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Jack Nicklaus' Turbo Golf (USA);Jack Nicklaus' Turbo Golf (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Jackie Chan (Japan);Jackie Chan (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Jackie Chan's Action Kung Fu (USA);Jackie Chan's Action Kung Fu (USA);ra-tg16;;;;;;;;;;;;;;;;;;
